[2024-11-17 11:42:08,943: INFO: main: welcome to our custom log]
[2024-11-17 11:46:59,175: INFO: main: welcome to our custom log]
[2024-11-17 11:51:25,503: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-17 11:51:25,504: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-17 11:51:25,505: INFO: common: created directory at: artifacts]
[2024-11-17 11:51:25,506: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-17 11:51:25,507: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-17 11:51:44,533: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-19 11:14:10,849: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-11-19 11:14:10,850: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-19 11:14:10,851: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-19 11:14:10,851: INFO: common: created directory at: artifacts]
[2024-11-19 11:14:10,851: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-19 11:14:10,851: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-19 11:14:22,749: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-19 11:14:23,261: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-11-19 11:23:17,805: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-11-19 11:23:17,807: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-19 11:23:17,807: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-19 11:23:17,808: INFO: common: created directory at: artifacts]
[2024-11-19 11:23:17,808: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-19 11:23:17,809: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-19 11:23:29,269: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-19 11:23:29,738: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
